acc	CpC	CpG	CpU	CpA	GpC	GpG	GpU	GpA	UpC	UpG	UpU	UpA	ApC	ApG	ApU	ApA
KT192549.1	1.1438659937206843	0.7981469517348752	0.9233590640343929	1.1615129240578344	0.7833053761860862	1.0457553946160278	0.9560257074674621	1.1697348891881825	1.040877490366043	1.2630802474535052	1.1548373814922623	0.5541325799065424	1.0615802183208414	0.8583289567197403	0.953747421185299	1.1373608932480446
L40361.3	1.0504811300702863	0.5701479898902448	1.2711032831881635	1.2829412505480968	0.8772475694337761	1.0533298868752519	0.8809329588023368	1.141702030425227	1.0089998154919995	1.445236659249201	1.0113766936356023	0.4108730714422841	1.1040386389766914	0.961009269561557	0.8956312127491894	1.0405192239145233
KP688058.1	0.9523564281797343	0.8711992300871276	0.9953157254425375	1.1840462248820622	0.8711992300871276	0.9741335960534746	0.9755268353677292	1.1655180977111312	1.0946816880491137	1.3377067842026897	1.0892541987279514	0.47186455694738494	1.0906917262054212	0.8252493913323782	0.946678267375691	1.155396471201595
DQ525916.1	1.0932501327133457	0.5329705734776374	1.107845275022331	1.2996694277806444	0.9293205210779087	1.0315704997663968	0.8704037603075867	1.1164710460167602	0.9441636307847974	1.4987701113317802	1.146948551659254	0.45663221504725443	1.0391598304071152	0.9576144442789045	0.9385502530775816	1.0563879254312538
AY632545.2	1.117743178452228	0.5695553705504208	1.0688593861423754	1.2805880570868953	0.9006568926303989	1.0419046571508392	0.862276519912072	1.1329973944275984	0.9460713963972062	1.4203990645465172	1.114576811241402	0.5476373369036361	1.049758751733689	0.9674909123004296	0.9995853541870133	0.9956950191766502
JX236040.3	1.0732273706641828	0.5502767272533317	1.0582421641537116	1.3304846899220286	0.9621797745540711	1.0115436545122958	0.8571283873583109	1.119854017829229	0.8911512961294413	1.450410297216759	1.1505014809382503	0.5392758018935427	1.065899666357989	0.9647132660909358	0.9847036070939235	0.9999278710360057
AF253419.1	1.0880534616470179	0.4907619911754961	1.2615384501454099	1.3602399675842602	0.8726081357454643	1.0310205955774616	0.8899370964731823	1.1692745637112247	1.0041612083846772	1.4512196117260252	0.9714030902334302	0.43160381819075433	1.083184955781822	1.033823945934776	0.9319119176445267	0.9394397923699361
M12294.2	1.0426703560653887	0.5792585990044975	1.2032998820222656	1.2393514963612309	0.9234146859435999	0.9913472507056282	0.8646982689657323	1.1799972113223496	1.0178915797075867	1.4381769136683942	1.0518366453264658	0.48968887650611187	1.0298630046595099	1.0136176045258982	0.9299454374027739	1.0167189852511522
M18370.1	1.0486988690319996	0.5837493700887886	1.2166435211526683	1.2226783782986332	0.9571260554916414	1.0285165277114214	0.8564683642000301	1.1144443326892366	1.0420238582103196	1.3641766377528408	1.0469853425921798	0.5565442684829012	0.9721645312898329	1.0438512856549236	0.9317780812277467	1.0298095485961365
JF895923.2	1.1013708768874058	0.49801987261964387	1.1738355603470163	1.300522377290054	0.9709030955171606	1.0249310832060723	0.8500223775444924	1.1125959960341512	0.9199783889916928	1.392350704374532	1.0915445592390531	0.5872079026550571	1.0213858670424327	1.0193310456762588	0.9588225656879675	0.9980237925916938
AF161266.1	1.143476296630056	0.5137702249404015	1.0918540237512582	1.2868181269663195	0.9948459810209592	1.0114090205258637	0.8487801424080805	1.11047290433807	0.8968117988429775	1.4190543005885095	1.1709827212104116	0.5430329036098993	0.9799386888533839	1.021360881150447	0.9443440416781971	1.0378450759343685
AB488408.1	1.1230331382510768	0.8830240515847182	0.9205975647022089	1.0785444328317657	0.8988695076490443	1.0566869065774185	0.9586891462836249	1.078320093289871	1.015409938475526	1.2238886586431483	1.1186164468624291	0.6414647960018495	0.9721674476757558	0.8371710000001413	1.0036524019076556	1.1903084009168712
AY453411.1	1.0996511237300066	0.5199812611035052	1.1639535085114536	1.2835073123460605	0.9205073676291781	1.049354976517934	0.8451082889737227	1.1413281904849153	0.9832153860717868	1.3758596884502992	1.1244742233328764	0.520742967940253	1.0127560548956371	1.0489800588896627	0.922719995823957	1.0011573144905876
U27495.1	1.049191511811039	0.550557482240171	1.2822647774484586	1.2876869720551665	0.9034789452146397	1.0405313688540045	0.8854591126908823	1.1280753356045974	0.993852639055796	1.4419173624094643	1.0402739482258976	0.4172134295341745	1.0835218716169563	0.9761760824934831	0.8649546709854837	1.0689133406827402
AY149905.1	1.0617450924825214	0.7553860804397584	1.030271985450748	1.1690284148068955	0.7958034168470517	1.069181957139398	0.9900304805456578	1.131800097203592	1.1887753678277861	1.3096572841144338	0.9575899534512755	0.5352682930106453	0.9712604498959545	0.8571428637673159	1.0235582517942925	1.1547913372208698
Blackfly_flavivirus	0.9632748603371817	0.7729239410434662	0.7673932840443372	1.3787260452238241	0.9133054260620445	1.1514353210771189	0.8902405838188294	1.0284589086872684	1.0027702157049951	1.301453819456376	1.3718332232306056	0.4800491622392694	1.0889301248901542	0.803904561812319	0.9524263059039386	1.1257832503969767
