rowname	Realm	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A1251_length_1373_cov_37.469136_BlackFly14	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Gammaflexiviridae	Gammaflexivirus	Gammaflexivirus PaGFV-1
NODE_A126_length_2087_cov_15.108955_BlackFly59	NA	NA	NA	Naldaviricetes	Lefavirales	Hytrosaviridae	NA	Drosophila suzukii associated hytrosavirus 1
NODE_A126_length_2401_cov_93.813253_BlackFly32	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus neofusicocci
NODE_A1263_length_1461_cov_3.488439_BlackFly34	NA	NA	NA	NA	NA	NA	NA	NA
NODE_A127_length_1517_cov_2.072222_BlackFly4	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_A127_length_1982_cov_6.317585_BlackFly6	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus neofusicocci
NODE_A128_length_2399_cov_6.843669_BlackFly32	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	NA	NA
NODE_A13_length_1548_cov_12.384772_BlackFly_NC_Jara_2	Riboviria	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Goukovirus	Yichang insect goukovirus
NODE_A130_length_1559_cov_66.130904_BlackFly38	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	NA
NODE_A131_length_1583_cov_2.781541_BlackFly35	Riboviria	Orthornavirae	Negarnaviricota	NA	NA	NA	NA	Colletotrichum associated negative-sense single-stranded RNA virus 2
NODE_A132_length_1677_cov_3.679375_BlackFly44	NA	NA	NA	NA	NA	NA	NA	Erysiphe necator associated mycovirus 1
NODE_A1322_length_1083_cov_2.140159_BlackFly43	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus	Cripavirus sp.
NODE_A133_length_2339_cov_8.991158_BlackFly29	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus neofusicocci
NODE_A134_length_1575_cov_40.796395_BlackFly35	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Erysiphe necator associated gammapartitivirus 2
